la_rueda_mueve_el_cursor_y_cambiar_de_fila_cierra_los_ajustes_ajenos	the_wheel_moves_the_cursor_and_changing_row_closes_foreign_settings
la_rueda_sobre_el_visor_lo_desplaza_y_no_el_listado	the_wheel_over_the_viewer_scrolls_it_and_not_the_listing
la_salida_de_un_comando_no_deja_pasar_teclas	a_commands_output_does_not_let_keys_through
la_secuencia_pendiente_se_ve_en_la_status_bar	the_pending_sequence_shows_in_the_status_bar
la_segunda_pulsacion_enfoca_el_preview	the_second_press_focuses_the_preview
la_sesion_gana_a_profile_start	the_session_wins_over_profile_start
la_sugerencia_es_el_ultimo_segmento	the_suggestion_is_the_last_segment
la_sugerencia_va_saneada_como_cualquier_nombre_pintado	the_suggestion_is_sanitized_like_any_painted_name
la_superficie_de_comandos_es_la_declarada	the_command_surface_is_the_declared_one
la_tecla_de_la_fuente_solo_significa_algo_con_daemon	the_source_key_only_means_something_with_a_daemon
la_tercera_pulsacion_cierra_y_devuelve_el_arbol_de_antes	the_third_press_closes_and_returns_the_previous_tree
la_ultima_foto_al_salir_espera_su_turno	the_last_snapshot_on_exit_waits_its_turn
la_ventana_acepta_el_argv_del_relevo	the_window_accepts_the_handoffs_argv
la_ventana_del_modal_de_sumas_se_desplaza	the_checksums_modal_window_scrolls
la_ventana_guarda_un_favorito_con_el_nombre_sugerido	the_window_saves_a_favorite_with_the_suggested_name
la_ventana_muta_y_es_una_decision	the_window_mutates_and_it_is_a_decision
la_ventana_no_arrastra_un_provider_ni_el_core	the_window_does_not_drag_in_a_provider_nor_the_core
la_ventana_no_trae_nada_de_serie	the_window_brings_nothing_stock
la_ventana_quita_el_favorito_del_cursor	the_window_removes_the_favorite_under_the_cursor
la_version_del_sobre_tambien_deja_la_ventana_suelta	the_envelope_version_also_leaves_the_window_detached
la_webview_no_navega_a_ninguna_parte	the_webview_does_not_navigate_anywhere
la_zona_de_soltar_sale_del_cuarto_mas_cercano	the_drop_zone_comes_from_the_nearest_quarter
las_aprobaciones_hacen_cola_con_prioridad_sobre_colisiones	approvals_queue_with_priority_over_collisions
las_capacidades_son_las_minimas	the_capabilities_are_the_minimum
las_colisiones_hacen_cola_y_jamas_pisan_un_modal	collisions_queue_and_never_step_on_a_modal
las_colocaciones_ni_se_solapan_ni_se_salen	placements_neither_overlap_nor_spill_out
las_columnas_configuradas_llegan_en_orden	configured_columns_arrive_in_order
las_disposiciones_de_otros_perfiles_vuelven_intactas	other_profiles_layouts_come_back_intact
las_dos_versiones_de_esquema_van_del_brazo	the_two_schema_versions_go_arm_in_arm
las_filas_llevan_su_profundidad_y_lo_plegado_no_sale	rows_carry_their_depth_and_folded_ones_do_not_show
las_filas_marcan_el_actual_primero_y_la_rama_de_delante	rows_mark_the_current_first_and_the_branch_ahead
las_fixtures_largas_del_corpus_contra_s3_real	the_corpus_long_fixtures_against_real_s3
